# Quartic Well - state n = 4
# Parity (even=+1, odd=-1) = 1
# gamma =   1.4142136E+00
# epsilon (numeric) =   1.0244309E+01
# Note: no analytic psi for quartic; psi_exact column is 0.0
# Xmax =   8.000000
# grid = 2001
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -7.5760000000E+00    3.2942751026E+03   -4.1939583951E-88    0.0000000000E+00    1.7589287020-175   -4.1939583951E-88    1.7723008121E-89
   -7.5680000000E+00    3.2803825543E+03   -8.0189626514E-88    0.0000000000E+00    6.4303762005-175   -8.0189626514E-88    3.3707828606E-89
   -7.5600000000E+00    3.2665339930E+03   -1.5311549324E-87    0.0000000000E+00    2.3444354270-174   -1.5311549324E-87    6.4021743679E-89
   -7.5520000000E+00    3.2527293256E+03   -2.9196283177E-87    0.0000000000E+00    8.5242295133-174   -2.9196283177E-87    1.2143061714E-88
   -7.5440000000E+00    3.2389684593E+03   -5.5596069342E-87    0.0000000000E+00    3.0909229263-173   -5.5596069342E-87    2.3000299468E-88
   -7.5360000000E+00    3.2252513014E+03   -1.0572295868E-86    0.0000000000E+00    1.1177343991-172   -1.0572295868E-86    4.3505480106E-88
   -7.5280000000E+00    3.2115777592E+03   -2.0077232007E-86    0.0000000000E+00    4.0309524506-172   -2.0077232007E-86    8.2178882151E-88
   -7.5200000000E+00    3.1979477402E+03   -3.8075734018E-86    0.0000000000E+00    1.4497615210-171   -3.8075734018E-86    1.5501826936E-87
   -7.5120000000E+00    3.1843611519E+03   -7.2111288833E-86    0.0000000000E+00    5.2000379771-171   -7.2111288833E-86    2.9201995651E-87
   -7.5040000000E+00    3.1708179019E+03   -1.3638586636E-85    0.0000000000E+00    1.8601104544-170   -1.3638586636E-85    5.4935081787E-87
   -7.4960000000E+00    3.1573178981E+03   -2.5760080802E-85    0.0000000000E+00    6.6358176295-170   -2.5760080802E-85    1.0320368797E-86
   -7.4880000000E+00    3.1438610482E+03   -4.8588940531E-85    0.0000000000E+00    2.3608851419-169   -4.8588940531E-85    1.9361966272E-86
