# Quartic Well - state n = 3
# Parity (even=+1, odd=-1) = -1
# gamma =   1.4142136E+00
# epsilon (numeric) =   7.3357301E+00
# Note: no analytic psi for quartic; psi_exact column is 0.0
# Xmax =   8.000000
# grid = 2001
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -7.5120000000E+00    3.1843611519E+03   -1.8727579005E-86    0.0000000000E+00    3.5072221538-172   -1.8727579005E-86    1.9025982509E-88
   -7.5040000000E+00    3.1708179019E+03   -3.5430216150E-86    0.0000000000E+00    1.2553002165-171   -3.5430216150E-86    3.5802450619E-88
   -7.4960000000E+00    3.1573178981E+03   -6.6938809257E-86    0.0000000000E+00    4.4808041847-171   -6.6938809257E-86    6.7280141896E-88
   -7.4880000000E+00    3.1438610482E+03   -1.2629751059E-85    0.0000000000E+00    1.5951061182-170   -1.2629751059E-85    1.2626126310E-87
   -7.4800000000E+00    3.1304472602E+03   -2.3797143833E-85    0.0000000000E+00    5.6630405462-170   -2.3797143833E-85    2.3662632060E-87
   -7.4720000000E+00    3.1170764421E+03   -4.4778416184E-85    0.0000000000E+00    2.0051065560-169   -4.4778416184E-85    4.4285980627E-87
   -7.4640000000E+00    3.1037485020E+03   -8.4144760725E-85    0.0000000000E+00    7.0803407575-169   -8.4144760725E-85    8.2771414759E-87
   -7.4560000000E+00    3.0904633482E+03   -1.5790667913E-84    0.0000000000E+00    2.4934519314-168   -1.5790667913E-84    1.5449199898E-86
   -7.4480000000E+00    3.0772208891E+03   -2.9593041309E-84    0.0000000000E+00    8.7574809392-168   -2.9593041309E-84    2.8796765662E-86
   -7.4400000000E+00    3.0640210330E+03   -5.5385361069E-84    0.0000000000E+00    3.0675382208-167   -5.5385361069E-84    5.3603622683E-86
   -7.4320000000E+00    3.0508636884E+03   -1.0351833640E-83    0.0000000000E+00    1.0716045971-166   -1.0351833640E-83    9.9645544459E-86
   -7.4240000000E+00    3.0377487641E+03   -1.9322222980E-83    0.0000000000E+00    3.7334830087-166   -1.9322222980E-83    1.8498458744E-85
   -7.4160000000E+00    3.0246761687E+03   -3.6017620619E-83    0.0000000000E+00    1.2972689951-165   -3.6017620619E-83    3.4294756879E-85
   -7.4080000000E+00    3.0116458110E+03   -6.7048904188E-83    0.0000000000E+00    4.4955555528-165   -6.7048904188E-83    6.3494343640E-85
   -7.4000000000E+00    2.9986576000E+03   -1.2464868361E-82    0.0000000000E+00    1.5537294325-164   -1.2464868361E-82    1.1739729194E-84
   -7.3920000000E+00    2.9857114447E+03   -2.3142148005E-82    0.0000000000E+00    5.3555901428-164   -2.3142148005E-82    2.1676914039E-84
   -7.3840000000E+00    2.9728072542E+03   -4.2908191211E-82    0.0000000000E+00    1.8411128730-163   -4.2908191211E-82    3.9971806114E-84
