# Quartic Well - state n = 2
# Parity (even=+1, odd=-1) = 1
# gamma =   1.4142136E+00
# epsilon (numeric) =   4.6967954E+00
# Note: no analytic psi for quartic; psi_exact column is 0.0
# Xmax =   8.000000
# grid = 2001
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -7.2960000000E+00    2.8336049420E+03    8.8103293172E-80    0.0000000000E+00    7.7621902677-159    8.8103293172E-80    2.8007646536E-81
   -7.2880000000E+00    2.8211972761E+03    1.6082165201E-79    0.0000000000E+00    2.5863603754-158    1.6082165201E-79    5.0840188140E-81
   -7.2800000000E+00    2.8088304026E+03    2.9317416394E-79    0.0000000000E+00    8.5951090399-158    2.9317416394E-79    9.2164309073E-81
   -7.2720000000E+00    2.7965042318E+03    5.3374802975E-79    0.0000000000E+00    2.8488695926-157    5.3374802975E-79    1.6685686956E-80
   -7.2640000000E+00    2.7842186744E+03    9.7045835150E-79    0.0000000000E+00    9.4178941200-157    9.7045835150E-79    3.0168360919E-80
   -7.2560000000E+00    2.7719736410E+03    1.7621714478E-78    0.0000000000E+00    3.1052482116-156    1.7621714478E-78    5.4473621579E-80
   -7.2480000000E+00    2.7597690425E+03    3.1955872097E-78    0.0000000000E+00    1.0211777615-155    3.1955872097E-78    9.8230940363E-80
   -7.2400000000E+00    2.7476047898E+03    5.7874207673E-78    0.0000000000E+00    3.3494239137-155    5.7874207673E-78    1.7690433619E-79
   -7.2320000000E+00    2.7354807937E+03    1.0467715896E-77    0.0000000000E+00    1.0957307609-154    1.0467715896E-77    3.1816865102E-79
   -7.2240000000E+00    2.7233969655E+03    1.8908274330E-77    0.0000000000E+00    3.5752283813-154    1.8908274330E-77    5.7148605014E-79
   -7.2160000000E+00    2.7113532163E+03    3.4110302898E-77    0.0000000000E+00    1.1635127638-153    3.4110302898E-77    1.0251415282E-78
   -7.2080000000E+00    2.6993494573E+03    6.1454485300E-77    0.0000000000E+00    3.7766537635-153    6.1454485300E-77    1.8365069387E-78
   -7.2000000000E+00    2.6873856000E+03    1.1057489576E-76    0.0000000000E+00    1.2226807573-152    1.1057489576E-76    3.2857345969E-78
   -7.1920000000E+00    2.6754615558E+03    1.9869871101E-76    0.0000000000E+00    3.9481177757-152    1.9869871101E-76    5.8708928732E-78
   -7.1840000000E+00    2.6635772363E+03    3.5659047146E-76    0.0000000000E+00    1.2715676433-151    3.5659047146E-76    1.0476306757E-77
   -7.1760000000E+00    2.6517325532E+03    6.3911823194E-76    0.0000000000E+00    4.0847211440-151    6.3911823194E-76    1.8670039651E-77
   -7.1680000000E+00    2.6399274183E+03    1.1440106905E-75    0.0000000000E+00    1.3087604599-150    1.1440106905E-75    3.3228892348E-77
   -7.1600000000E+00    2.6281617434E+03    2.0451114385E-75    0.0000000000E+00    4.1824807960-150    2.0451114385E-75    5.9063705173E-77
   -7.1520000000E+00    2.6164354404E+03    3.6512578771E-75    0.0000000000E+00    1.3331684085-149    3.6512578771E-75    1.0484804005E-76
   -7.1440000000E+00    2.6047484215E+03    6.5103942020E-75    0.0000000000E+00    4.2385232666-149    6.5103942020E-75    1.8588115370E-76
   -7.1360000000E+00    2.5931005989E+03    1.1593429618E-74    0.0000000000E+00    1.3440761031-148    1.1593429618E-74    3.2911405084E-76
   -7.1280000000E+00    2.5814918847E+03    2.0618499419E-74    0.0000000000E+00    4.2512251829-148    2.0618499419E-74    5.8196131748E-76
   -7.1200000000E+00    2.5699221914E+03    3.6622102731E-74    0.0000000000E+00    1.3411784084-147    3.6622102731E-74    1.0277300391E-75
   -7.1120000000E+00    2.5583914313E+03    6.4963768611E-74    0.0000000000E+00    4.2202912322-147    6.4963768611E-74    1.8125993857E-75
   -7.1040000000E+00    2.5468995172E+03    1.1509102914E-73    0.0000000000E+00    1.3245944989-146    1.1509102914E-73    3.1927363761E-75
   -7.0960000000E+00    2.5354463615E+03    2.0363605772E-73    0.0000000000E+00    4.1467644006-146    2.0363605772E-73    5.6164688480E-75
   -7.0880000000E+00    2.5240318772E+03    3.5984166583E-73    0.0000000000E+00    1.2948602447-145    3.5984166583E-73    9.8674132916E-75
   -7.0800000000E+00    2.5126559770E+03    6.3505654054E-73    0.0000000000E+00    4.0329680969-145    6.3505654054E-73    1.7313447799E-74
   -7.0720000000E+00    2.5013185738E+03    1.1193299671E-72    0.0000000000E+00    1.2528995752-144    1.1193299671E-72    3.0339239617E-74
   -7.0640000000E+00    2.4900195808E+03    1.9703767679E-72    0.0000000000E+00    3.8823846075-144    1.9703767679E-72    5.3096674009E-74
   -7.0560000000E+00    2.4787589111E+03    3.4640683408E-72    0.0000000000E+00    1.1999769470-143    3.4640683408E-72    9.2805143621E-74
   -7.0480000000E+00    2.4675364779E+03    6.0823340295E-72    0.0000000000E+00    3.6994787247-143    6.0823340295E-72    1.6200166915E-73
   -7.0400000000E+00    2.4563521946E+03    1.0665994166E-71    0.0000000000E+00    1.1376343155-142    1.0665994166E-71    2.8242962696E-73
   -7.0320000000E+00    2.4452059746E+03    1.8680147123E-71    0.0000000000E+00    3.4894789654-142    1.8680147123E-71    4.9175065301E-73
   -7.0240000000E+00    2.4340977314E+03    3.2674408591E-71    0.0000000000E+00    1.0676169768-141    3.2674408591E-71    8.5511431477E-73
   -7.0160000000E+00    2.4230273788E+03    5.7080042561E-71    0.0000000000E+00    3.2581312587-141    5.7080042561E-71    1.4850755747E-72
   -7.0080000000E+00    2.4119948303E+03    9.9588815611E-71    0.0000000000E+00    9.9179321949-141    9.9588815611E-71    2.5758388541E-72
   -7.0000000000E+00    2.4010000000E+03    1.7353504394E-70    0.0000000000E+00    3.0114411476-140    1.7353504394E-70    4.4620577756E-72
   -6.9920000000E+00    2.3900428017E+03    3.0200544519E-70    0.0000000000E+00    9.1207288927-140    3.0200544519E-70    7.7196687035E-72
   -6.9840000000E+00    2.3791231494E+03    5.2492098435E-70    0.0000000000E+00    2.7554203981-139    5.2492098435E-70    1.3338583710E-71
   -6.9760000000E+00    2.3682409573E+03    9.1122429601E-70    0.0000000000E+00    8.3032971764-139    9.1122429601E-70    2.3018073184E-71
   -6.9680000000E+00    2.3573961395E+03    1.5798267372E-69    0.0000000000E+00    2.4958525196-138    1.5798267372E-69    3.9671353258E-71
   -6.9600000000E+00    2.3465886106E+03    2.7355651247E-69    0.0000000000E+00    7.4833165513-138    2.7355651247E-69    6.8286440296E-71
   -6.9520000000E+00    2.3358182847E+03    4.7308448404E-69    0.0000000000E+00    2.2380892904-137    4.7308448404E-69    1.1739293258E-70
   -6.9440000000E+00    2.3250850766E+03    8.1711844832E-69    0.0000000000E+00    6.6768255858-137    8.1711844832E-69    2.0155800823E-70
   -6.9360000000E+00    2.3143889007E+03    1.4095698760E-68    0.0000000000E+00    1.9868872352-136    1.4095698760E-68    3.4562838490E-70
   -6.9280000000E+00    2.3037296719E+03    2.4285335319E-68    0.0000000000E+00    5.8977751157-136    2.4285335319E-68    5.9193032904E-70
   -6.9200000000E+00    2.2931073050E+03    4.1788628442E-68    0.0000000000E+00    1.7462894670-135    4.1788628442E-68    1.0124748400E-69
   -6.9120000000E+00    2.2825217148E+03    7.1817331880E-68    0.0000000000E+00    5.1577291584-135    7.1817331880E-68    1.7296210119E-69
