# Quartic Well - state n = 5
# Parity (even=+1, odd=-1) = -1
# gamma =   1.4142136E+00
# epsilon (numeric) =   1.3379337E+01
# Note: no analytic psi for quartic; psi_exact column is 0.0
# Xmax =   8.000000
# grid = 2001
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -6.8240000000E+00    2.1684832538E+03    1.3550138385E-63    0.0000000000E+00    1.8360625025-126    1.3550138385E-63    6.6874621607E-66
   -6.8160000000E+00    2.1583323841E+03    2.2918810782E-63    0.0000000000E+00    5.2527188768-126    2.2918810782E-63    1.1242012791E-65
   -6.8080000000E+00    2.1482171941E+03    3.8717252056E-63    0.0000000000E+00    1.4990256067-125    3.8717252056E-63    1.8874986733E-65
   -6.8000000000E+00    2.1381376000E+03    6.5325341081E-63    0.0000000000E+00    4.2674001873-125    6.5325341081E-63    3.1651163786E-65
   -6.7920000000E+00    2.1280935182E+03    1.1008399318E-62    0.0000000000E+00    1.2118485555-124    1.1008399318E-62    5.3009507033E-65
   -6.7840000000E+00    2.1180848653E+03    1.8528173441E-62    0.0000000000E+00    3.4329321106-124    1.8528173441E-62    8.8670571452E-65
   -6.7760000000E+00    2.1081115578E+03    3.1146381544E-62    0.0000000000E+00    9.7009708328-124    3.1146381544E-62    1.4813835394E-64
   -6.7680000000E+00    2.0981735123E+03    5.2293747548E-62    0.0000000000E+00    2.7346360326-123    5.2293747548E-62    2.4718288284E-64
   -6.7600000000E+00    2.0882706458E+03    8.7691948988E-62    0.0000000000E+00    7.6898779172-123    8.7691948988E-62    4.1193884623E-64
   -6.7520000000E+00    2.0784028750E+03    1.4687168745E-61    0.0000000000E+00    2.1571292574-122    1.4687168745E-61    6.8566374456E-64
   -6.7440000000E+00    2.0685701169E+03    2.4568886143E-61    0.0000000000E+00    6.0363016632-122    2.4568886143E-61    1.1398673456E-63
   -6.7360000000E+00    2.0587722887E+03    4.1048991088E-61    0.0000000000E+00    1.6850196693-121    4.1048991088E-61    1.8926169826E-63
   -6.7280000000E+00    2.0490093075E+03    6.8499871887E-61    0.0000000000E+00    4.6922324485-121    6.8499871887E-61    3.1386078237E-63
   -6.7200000000E+00    2.0392810906E+03    1.1416892162E-60    0.0000000000E+00    1.3034542663-120    1.1416892162E-60    5.1984979724E-63
   -6.7120000000E+00    2.0295875553E+03    1.9005422218E-60    0.0000000000E+00    3.6120607367-120    1.9005422218E-60    8.5997498035E-63
   -6.7040000000E+00    2.0199286192E+03    3.1599429704E-60    0.0000000000E+00    9.9852395763-120    3.1599429704E-60    1.4208933147E-62
   -6.6960000000E+00    2.0103041997E+03    5.2475149225E-60    0.0000000000E+00    2.7536412862-119    5.2475149225E-60    2.3447980732E-62
   -6.6880000000E+00    2.0007142147E+03    8.7036506482E-60    0.0000000000E+00    7.5753534606-119    8.7036506482E-60    3.8647228508E-62
   -6.6800000000E+00    1.9911585818E+03    1.4418602397E-59    0.0000000000E+00    2.0789609508-118    1.4418602397E-59    6.3621044671E-62
   -6.6720000000E+00    1.9816372189E+03    2.3857198496E-59    0.0000000000E+00    5.6916592006-118    2.3857198496E-59    1.0460522488E-61
   -6.6640000000E+00    1.9721500439E+03    3.9426742873E-59    0.0000000000E+00    1.5544680536-117    3.9426742873E-59    1.7178162434E-61
   -6.6560000000E+00    1.9626969751E+03    6.5078592535E-59    0.0000000000E+00    4.2352232064-117    6.5078592535E-59    2.8175483968E-61
   -6.6480000000E+00    1.9532779304E+03    1.0729063452E-58    0.0000000000E+00    1.1511280256-116    1.0729063452E-58    4.6157047621E-61
   -6.6400000000E+00    1.9438928282E+03    1.7666987527E-58    0.0000000000E+00    3.1212244829-116    1.7666987527E-58    7.5522650404E-61
   -6.6320000000E+00    1.9345415868E+03    2.9056335001E-58    0.0000000000E+00    8.4427060366-116    2.9056335001E-58    1.2342115119E-60
   -6.6240000000E+00    1.9252241246E+03    4.7730658346E-58    0.0000000000E+00    2.2782157462-115    4.7730658346E-58    2.0145392722E-60
   -6.6160000000E+00    1.9159403604E+03    7.8312824958E-58    0.0000000000E+00    6.1328985529-115    7.8312824958E-58    3.2842504205E-60
   -6.6080000000E+00    1.9066902126E+03    1.2833580755E-57    0.0000000000E+00    1.6470079500-114    1.2833580755E-57    5.3477583792E-60
   -6.6000000000E+00    1.8974736000E+03    2.1005978313E-57    0.0000000000E+00    4.4125112487-114    2.1005978313E-57    8.6972685841E-60
   -6.5920000000E+00    1.8882904415E+03    3.4341455803E-57    0.0000000000E+00    1.1793355867-113    3.4341455803E-57    1.4127658392E-59
   -6.5840000000E+00    1.8791406561E+03    5.6075845598E-57    0.0000000000E+00    3.1445004596-113    5.6075845598E-57    2.2921038577E-59
   -6.5760000000E+00    1.8700241627E+03    9.1456571674E-57    0.0000000000E+00    8.3643045024-113    9.1456571674E-57    3.7142899967E-59
   -6.5680000000E+00    1.8609408806E+03    1.4898295252E-56    0.0000000000E+00    2.2195920143-112    1.4898295252E-56    6.0116728767E-59
