# Infinite Square Well - State n = 1
# Numerical k        =       3.141592653590
# Analytic  k        =       3.141592653590
# |k - k_exact|      =    0.000000E+00
# rel. error k       =    0.000000E+00
# Numerical Energy   =       4.934802200545
# Analytic  Energy   =       4.934802200545
# |E - E_exact|      =    0.000000E+00
# rel. error E       =    0.000000E+00
# Well width L       =   1.000000
# columns: x   V(x)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
    4.8000000000E-02    0.0000000000E+00    2.1245106555E-01    2.1245106555E-01    4.5135455253E-02   -2.5679458560E-13    1.6268451642E-09
    4.9000000000E-02    0.0000000000E+00    2.1684247389E-01    2.1684247389E-01    4.7020658483E-02   -2.6201263381E-13    1.6260728545E-09
    5.0000000000E-02    0.0000000000E+00    2.2123174208E-01    2.2123174208E-01    4.8943483705E-02   -2.6725843760E-13    1.6252844962E-09
    5.1000000000E-02    0.0000000000E+00    2.2561882681E-01    2.2561882681E-01    5.0903855010E-02   -2.7247648582E-13    1.6244800969E-09
    5.2000000000E-02    0.0000000000E+00    2.3000368476E-01    2.3000368476E-01    5.2901695005E-02   -2.7769453403E-13    1.6236596646E-09
    5.3000000000E-02    0.0000000000E+00    2.3438627268E-01    2.3438627268E-01    5.4936924820E-02   -2.8294033783E-13    1.6228232074E-09
    5.4000000000E-02    0.0000000000E+00    2.3876654729E-01    2.3876654729E-01    5.7009464107E-02   -2.8815838604E-13    1.6219707337E-09
    5.5000000000E-02    0.0000000000E+00    2.4314446538E-01    2.4314446538E-01    5.9119231046E-02   -2.9334867868E-13    1.6211022520E-09
    5.6000000000E-02    0.0000000000E+00    2.4751998373E-01    2.4751998373E-01    6.1266142346E-02   -2.9856672690E-13    1.6202177701E-09
    5.7000000000E-02    0.0000000000E+00    2.5189305916E-01    2.5189305916E-01    6.3450113252E-02   -3.0375701954E-13    1.6193172974E-09
    5.8000000000E-02    0.0000000000E+00    2.5626364850E-01    2.5626364850E-01    6.5671057543E-02   -3.0897506775E-13    1.6184008435E-09
    5.9000000000E-02    0.0000000000E+00    2.6063170863E-01    2.6063170863E-01    6.7928887542E-02   -3.1419311597E-13    1.6174684159E-09
    6.0000000000E-02    0.0000000000E+00    2.6499719642E-01    2.6499719642E-01    7.0223514112E-02   -3.1930014188E-13    1.6165200246E-09
    6.1000000000E-02    0.0000000000E+00    2.6936006880E-01    2.6936006880E-01    7.2554846665E-02   -3.2451819010E-13    1.6155556790E-09
    6.2000000000E-02    0.0000000000E+00    2.7372028271E-01    2.7372028271E-01    7.4922793165E-02   -3.2962521601E-13    1.6145753883E-09
    6.3000000000E-02    0.0000000000E+00    2.7807779510E-01    2.7807779510E-01    7.7327260130E-02   -3.3484326423E-13    1.6135791629E-09
    6.4000000000E-02    0.0000000000E+00    2.8243256298E-01    2.8243256298E-01    7.9768152634E-02   -3.3995029014E-13    1.6125670116E-09
    6.5000000000E-02    0.0000000000E+00    2.8678454337E-01    2.8678454337E-01    8.2245374316E-02   -3.4511282720E-13    1.6115389453E-09
    6.6000000000E-02    0.0000000000E+00    2.9113369331E-01    2.9113369331E-01    8.4758827379E-02   -3.5027536427E-13    1.6104949737E-09
    6.7000000000E-02    0.0000000000E+00    2.9547996987E-01    2.9547996987E-01    8.7308412596E-02   -3.5538239018E-13    1.6094351071E-09
    6.8000000000E-02    0.0000000000E+00    2.9982333017E-01    2.9982333017E-01    8.9894029315E-02   -3.6054492725E-13    1.6083593561E-09
    6.9000000000E-02    0.0000000000E+00    3.0416373133E-01    3.0416373133E-01    9.2515575459E-02   -3.6565195316E-13    1.6072677310E-09
    7.0000000000E-02    0.0000000000E+00    3.0850113052E-01    3.0850113052E-01    9.5172947534E-02   -3.7075897907E-13    1.6061602429E-09
    7.1000000000E-02    0.0000000000E+00    3.1283548493E-01    3.1283548493E-01    9.7866040632E-02   -3.7581049384E-13    1.6050369026E-09
    7.2000000000E-02    0.0000000000E+00    3.1716675178E-01    3.1716675178E-01    1.0059474843E-01   -3.8091751975E-13    1.6038977216E-09
    7.3000000000E-02    0.0000000000E+00    3.2149488832E-01    3.2149488832E-01    1.0335896321E-01   -3.8608005681E-13    1.6027427105E-09
    7.4000000000E-02    0.0000000000E+00    3.2581985183E-01    3.2581985183E-01    1.0615857585E-01   -3.9113157158E-13    1.6015718810E-09
    7.5000000000E-02    0.0000000000E+00    3.3014159964E-01    3.3014159964E-01    1.0899347581E-01   -3.9618308634E-13    1.6003852446E-09
    7.6000000000E-02    0.0000000000E+00    3.3446008908E-01    3.3446008908E-01    1.1186355119E-01   -4.0129011225E-13    1.5991828131E-09
    7.7000000000E-02    0.0000000000E+00    3.3877527753E-01    3.3877527753E-01    1.1476868867E-01   -4.0634162701E-13    1.5979645981E-09
    7.8000000000E-02    0.0000000000E+00    3.4308712241E-01    3.4308712241E-01    1.1770877356E-01   -4.1128211947E-13    1.5967306121E-09
    7.9000000000E-02    0.0000000000E+00    3.4739558116E-01    3.4739558116E-01    1.2068368981E-01   -4.1633363423E-13    1.5954808670E-09
    8.0000000000E-02    0.0000000000E+00    3.5170061125E-01    3.5170061125E-01    1.2369331996E-01   -4.2138514900E-13    1.5942153751E-09
    8.1000000000E-02    0.0000000000E+00    3.5600217020E-01    3.5600217020E-01    1.2673754519E-01   -4.2632564146E-13    1.5929341490E-09
    8.2000000000E-02    0.0000000000E+00    3.6030021556E-01    3.6030021556E-01    1.2981624533E-01   -4.3132164507E-13    1.5916372012E-09
    8.3000000000E-02    0.0000000000E+00    3.6459470489E-01    3.6459470489E-01    1.3292929884E-01   -4.3637315983E-13    1.5903245446E-09
    8.4000000000E-02    0.0000000000E+00    3.6888559582E-01    3.6888559582E-01    1.3607658281E-01   -4.4136916344E-13    1.5889961919E-09
    8.5000000000E-02    0.0000000000E+00    3.7317284601E-01    3.7317284601E-01    1.3925797300E-01   -4.4630965590E-13    1.5876521569E-09
    8.6000000000E-02    0.0000000000E+00    3.7745641312E-01    3.7745641312E-01    1.4247334381E-01   -4.5119463721E-13    1.5862924520E-09
    8.7000000000E-02    0.0000000000E+00    3.8173625489E-01    3.8173625489E-01    1.4572256830E-01   -4.5619064082E-13    1.5849170912E-09
    8.8000000000E-02    0.0000000000E+00    3.8601232908E-01    3.8601232908E-01    1.4900551820E-01   -4.6102011098E-13    1.5835260880E-09
    8.9000000000E-02    0.0000000000E+00    3.9028459349E-01    3.9028459349E-01    1.5232206391E-01   -4.6596060344E-13    1.5821194560E-09
    9.0000000000E-02    0.0000000000E+00    3.9455300594E-01    3.9455300594E-01    1.5567207450E-01   -4.7095660705E-13    1.5806972091E-09
    9.1000000000E-02    0.0000000000E+00    3.9881752432E-01    3.9881752432E-01    1.5905541770E-01   -4.7578607720E-13    1.5792593614E-09
    9.2000000000E-02    0.0000000000E+00    4.0307810652E-01    4.0307810652E-01    1.6247195996E-01   -4.8067105851E-13    1.5778059268E-09
    9.3000000000E-02    0.0000000000E+00    4.0733471051E-01    4.0733471051E-01    1.6592156639E-01   -4.8550052867E-13    1.5763369200E-09
    9.4000000000E-02    0.0000000000E+00    4.1158729427E-01    4.1158729427E-01    1.6940410080E-01   -4.9038550998E-13    1.5748523557E-09
    9.5000000000E-02    0.0000000000E+00    4.1583581583E-01    4.1583581583E-01    1.7291942573E-01   -4.9527049129E-13    1.5733522479E-09
    9.6000000000E-02    0.0000000000E+00    4.2008023325E-01    4.2008023325E-01    1.7646740237E-01   -5.0009996144E-13    1.5718366118E-09
    9.7000000000E-02    0.0000000000E+00    4.2432050466E-01    4.2432050466E-01    1.8004789067E-01   -5.0492943160E-13    1.5703054625E-09
    9.8000000000E-02    0.0000000000E+00    4.2855658819E-01    4.2855658819E-01    1.8366074928E-01   -5.0970339061E-13    1.5687588148E-09
    9.9000000000E-02    0.0000000000E+00    4.3278844204E-01    4.3278844204E-01    1.8730583557E-01   -5.1453286076E-13    1.5671966840E-09
    1.0000000000E-01    0.0000000000E+00    4.3701602445E-01    4.3701602445E-01    1.9098300562E-01   -5.1919579747E-13    1.5656190858E-09
    1.0100000000E-01    0.0000000000E+00    4.4123929368E-01    4.4123929368E-01    1.9469211429E-01   -5.2408077877E-13    1.5640260355E-09
    1.0200000000E-01    0.0000000000E+00    4.4545820806E-01    4.4545820806E-01    1.9843301513E-01   -5.2879922663E-13    1.5624175487E-09
    1.0300000000E-01    0.0000000000E+00    4.4967272595E-01    4.4967272595E-01    2.0220556046E-01   -5.3346216333E-13    1.5607936417E-09
    1.0400000000E-01    0.0000000000E+00    4.5388280575E-01    4.5388280575E-01    2.0600960135E-01   -5.3829163349E-13    1.5591543302E-09
    1.0500000000E-01    0.0000000000E+00    4.5808840590E-01    4.5808840590E-01    2.0984498762E-01   -5.4295457019E-13    1.5574996306E-09
    1.0600000000E-01    0.0000000000E+00    4.6228948491E-01    4.6228948492E-01    2.1371156786E-01   -5.4767301805E-13    1.5558295588E-09
    1.0700000000E-01    0.0000000000E+00    4.6648600132E-01    4.6648600132E-01    2.1760918942E-01   -5.5244697705E-13    1.5541441316E-09
    1.0800000000E-01    0.0000000000E+00    4.7067791369E-01    4.7067791369E-01    2.2153769843E-01   -5.5710991376E-13    1.5524433662E-09
    1.0900000000E-01    0.0000000000E+00    4.7486518066E-01    4.7486518066E-01    2.2549693980E-01   -5.6182836161E-13    1.5507272783E-09
    1.1000000000E-01    0.0000000000E+00    4.7904776090E-01    4.7904776090E-01    2.2948675722E-01   -5.6654680947E-13    1.5489958854E-09
    1.1100000000E-01    0.0000000000E+00    4.8322561314E-01    4.8322561314E-01    2.3350699319E-01   -5.7109872387E-13    1.5472492046E-09
    1.1200000000E-01    0.0000000000E+00    4.8739869613E-01    4.8739869613E-01    2.3755748899E-01   -5.7581717172E-13    1.5454872533E-09
    1.1300000000E-01    0.0000000000E+00    4.9156696869E-01    4.9156696869E-01    2.4163808471E-01   -5.8042459727E-13    1.5437100484E-09
    1.1400000000E-01    0.0000000000E+00    4.9573038969E-01    4.9573038969E-01    2.4574861926E-01   -5.8503202283E-13    1.5419176076E-09
    1.1500000000E-01    0.0000000000E+00    4.9988891803E-01    4.9988891803E-01    2.4988893037E-01   -5.8969495953E-13    1.5401099490E-09
    1.1600000000E-01    0.0000000000E+00    5.0404251267E-01    5.0404251267E-01    2.5405885458E-01   -5.9430238508E-13    1.5382870899E-09
    1.1700000000E-01    0.0000000000E+00    5.0819113261E-01    5.0819113261E-01    2.5825822726E-01   -5.9874327718E-13    1.5364490485E-09
    1.1800000000E-01    0.0000000000E+00    5.1233473691E-01    5.1233473691E-01    2.6248688264E-01   -6.0329519158E-13    1.5345958431E-09
    1.1900000000E-01    0.0000000000E+00    5.1647328467E-01    5.1647328467E-01    2.6674465378E-01   -6.0795812828E-13    1.5327274918E-09
    1.2000000000E-01    0.0000000000E+00    5.2060673505E-01    5.2060673505E-01    2.7103137258E-01   -6.1239902038E-13    1.5308440133E-09
    1.2100000000E-01    0.0000000000E+00    5.2473504725E-01    5.2473504725E-01    2.7534686981E-01   -6.1706195709E-13    1.5289454257E-09
    1.2200000000E-01    0.0000000000E+00    5.2885818053E-01    5.2885818053E-01    2.7969097511E-01   -6.2139182688E-13    1.5270317481E-09
    1.2300000000E-01    0.0000000000E+00    5.3297609419E-01    5.3297609419E-01    2.8406351698E-01   -6.2605476359E-13    1.5251029994E-09
    1.2400000000E-01    0.0000000000E+00    5.3708874759E-01    5.3708874759E-01    2.8846432279E-01   -6.3049565568E-13    1.5231591985E-09
    1.2500000000E-01    0.0000000000E+00    5.4119610015E-01    5.4119610015E-01    2.9289321881E-01   -6.3493654778E-13    1.5212003647E-09
    1.2600000000E-01    0.0000000000E+00    5.4529811131E-01    5.4529811131E-01    2.9735003020E-01   -6.3937743988E-13    1.5192265172E-09
    1.2700000000E-01    0.0000000000E+00    5.4939474061E-01    5.4939474061E-01    3.0183458101E-01   -6.4381833198E-13    1.5172376756E-09
    1.2800000000E-01    0.0000000000E+00    5.5348594760E-01    5.5348594760E-01    3.0634669419E-01   -6.4825922408E-13    1.5152338593E-09
    1.2900000000E-01    0.0000000000E+00    5.5757169190E-01    5.5757169190E-01    3.1088619161E-01   -6.5258909387E-13    1.5132150885E-09
    1.3000000000E-01    0.0000000000E+00    5.6165193320E-01    5.6165193320E-01    3.1545289407E-01   -6.5714100828E-13    1.5111813827E-09
    1.3100000000E-01    0.0000000000E+00    5.6572663122E-01    5.6572663123E-01    3.2004662128E-01   -6.6135985577E-13    1.5091327623E-09
    1.3200000000E-01    0.0000000000E+00    5.6979574575E-01    5.6979574575E-01    3.2466719188E-01   -6.6568972557E-13    1.5070692472E-09
    1.3300000000E-01    0.0000000000E+00    5.7385923663E-01    5.7385923663E-01    3.2931442346E-01   -6.7001959536E-13    1.5049908580E-09
    1.3400000000E-01    0.0000000000E+00    5.7791706374E-01    5.7791706374E-01    3.3398813256E-01   -6.7434946516E-13    1.5028976153E-09
    1.3500000000E-01    0.0000000000E+00    5.8196918705E-01    5.8196918705E-01    3.3868813468E-01   -6.7879035726E-13    1.5007895395E-09
    1.3600000000E-01    0.0000000000E+00    5.8601556656E-01    5.8601556656E-01    3.4341424425E-01   -6.8312022705E-13    1.4986666514E-09
    1.3700000000E-01    0.0000000000E+00    5.9005616233E-01    5.9005616233E-01    3.4816627470E-01   -6.8733907455E-13    1.4965289723E-09
    1.3800000000E-01    0.0000000000E+00    5.9409093448E-01    5.9409093448E-01    3.5294403843E-01   -6.9144689974E-13    1.4943765228E-09
    1.3900000000E-01    0.0000000000E+00    5.9811984319E-01    5.9811984319E-01    3.5774734682E-01   -6.9577676953E-13    1.4922093244E-09
    1.4000000000E-01    0.0000000000E+00    6.0214284871E-01    6.0214284871E-01    3.6257601025E-01   -6.9988459472E-13    1.4900273987E-09
    1.4100000000E-01    0.0000000000E+00    6.0615991132E-01    6.0615991132E-01    3.6742983809E-01   -7.0410344222E-13    1.4878307669E-09
    1.4200000000E-01    0.0000000000E+00    6.1017099137E-01    6.1017099137E-01    3.7230863871E-01   -7.0821126741E-13    1.4856194509E-09
    1.4300000000E-01    0.0000000000E+00    6.1417604928E-01    6.1417604928E-01    3.7721221951E-01   -7.1243011490E-13    1.4833934725E-09
    1.4400000000E-01    0.0000000000E+00    6.1817504552E-01    6.1817504552E-01    3.8214038691E-01   -7.1642691779E-13    1.4811528534E-09
    1.4500000000E-01    0.0000000000E+00    6.2216794063E-01    6.2216794063E-01    3.8709294635E-01   -7.2064576528E-13    1.4788976160E-09
    1.4600000000E-01    0.0000000000E+00    6.2615469519E-01    6.2615469519E-01    3.9206970230E-01   -7.2475359048E-13    1.4766277826E-09
    1.4700000000E-01    0.0000000000E+00    6.3013526985E-01    6.3013526985E-01    3.9707045831E-01   -7.2897243797E-13    1.4743433754E-09
    1.4800000000E-01    0.0000000000E+00    6.3410962533E-01    6.3410962533E-01    4.0209501694E-01   -7.3308026316E-13    1.4720444168E-09
    1.4900000000E-01    0.0000000000E+00    6.3807772241E-01    6.3807772241E-01    4.0714317984E-01   -7.3718808835E-13    1.4697309302E-09
    1.5000000000E-01    0.0000000000E+00    6.4203952192E-01    6.4203952192E-01    4.1221474771E-01   -7.4107386894E-13    1.4674029377E-09
    1.5100000000E-01    0.0000000000E+00    6.4599498476E-01    6.4599498476E-01    4.1730952033E-01   -7.4507067183E-13    1.4650604624E-09
    1.5200000000E-01    0.0000000000E+00    6.4994407188E-01    6.4994407188E-01    4.2242729658E-01   -7.4906747471E-13    1.4627035275E-09
    1.5300000000E-01    0.0000000000E+00    6.5388674433E-01    6.5388674433E-01    4.2756787440E-01   -7.5317529991E-13    1.4603321566E-09
    1.5400000000E-01    0.0000000000E+00    6.5782296317E-01    6.5782296317E-01    4.3273105087E-01   -7.5717210279E-13    1.4579463726E-09
    1.5500000000E-01    0.0000000000E+00    6.6175268957E-01    6.6175268957E-01    4.3791662215E-01   -7.6116890568E-13    1.4555461993E-09
    1.5600000000E-01    0.0000000000E+00    6.6567588473E-01    6.6567588473E-01    4.4312438351E-01   -7.6494366397E-13    1.4531316604E-09
    1.5700000000E-01    0.0000000000E+00    6.6959250994E-01    6.6959250994E-01    4.4835412937E-01   -7.6882944455E-13    1.4507027796E-09
