# Infinite Square Well - State n = 4
# Numerical k        =      12.566370618084
# Analytic  k        =      12.566370614359
# |k - k_exact|      =    3.725290E-09
# rel. error k       =    2.964492E-10
# Numerical Energy   =      78.956835255528
# Analytic  Energy   =      78.956835208715
# |E - E_exact|      =    4.681338E-08
# rel. error E       =    5.928984E-10
# Well width L       =   1.000000
# columns: x   V(x)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
    5.0000000000E-02    0.0000000000E+00    8.3125387567E-01    8.3125387555E-01    6.9098300581E-01    1.1080814044E-10    2.1437432232E-08
    5.1000000000E-02    0.0000000000E+00    8.4556533616E-01    8.4556533605E-01    7.1498073772E-01    1.1227174745E-10    2.1243873761E-08
    5.2000000000E-02    0.0000000000E+00    8.5974327209E-01    8.5974327198E-01    7.3915849391E-01    1.1369283293E-10    2.1046960637E-08
    5.3000000000E-02    0.0000000000E+00    8.7378544459E-01    8.7378544447E-01    7.6350100318E-01    1.1507117481E-10    2.0846723953E-08
    5.4000000000E-02    0.0000000000E+00    8.8768963624E-01    8.8768963612E-01    7.8799289028E-01    1.1640621800E-10    2.0643195329E-08
    5.5000000000E-02    0.0000000000E+00    9.0145365140E-01    9.0145365128E-01    8.1261868563E-01    1.1769740738E-10    2.0436406906E-08
    5.6000000000E-02    0.0000000000E+00    9.1507531658E-01    9.1507531647E-01    8.3736283502E-01    1.1894385477E-10    2.0226391337E-08
    5.7000000000E-02    0.0000000000E+00    9.2855248077E-01    9.2855248065E-01    8.6220970954E-01    1.2014489403E-10    2.0013181787E-08
    5.8000000000E-02    0.0000000000E+00    9.4188301575E-01    9.4188301563E-01    8.8714361536E-01    1.2130052518E-10    1.9796811923E-08
    5.9000000000E-02    0.0000000000E+00    9.5506481648E-01    9.5506481636E-01    9.1214880368E-01    1.2241008207E-10    1.9577315913E-08
    6.0000000000E-02    0.0000000000E+00    9.6809580141E-01    9.6809580129E-01    9.3720948071E-01    1.2347267653E-10    1.9354728418E-08
    6.1000000000E-02    0.0000000000E+00    9.8097391279E-01    9.8097391267E-01    9.6230981757E-01    1.2448786446E-10    1.9129084587E-08
    6.2000000000E-02    0.0000000000E+00    9.9369711702E-01    9.9369711689E-01    9.8743396037E-01    1.2545520178E-10    1.8900420052E-08
    6.3000000000E-02    0.0000000000E+00    1.0062634049E+00    1.0062634048E+00    1.0125660401E+00    1.2637446645E-10    1.8668770922E-08
    6.4000000000E-02    0.0000000000E+00    1.0186707922E+00    1.0186707921E+00    1.0376901829E+00    1.2724465925E-10    1.8434173776E-08
    6.5000000000E-02    0.0000000000E+00    1.0309173196E+00    1.0309173194E+00    1.0627905198E+00    1.2806578020E-10    1.8196665660E-08
    6.6000000000E-02    0.0000000000E+00    1.0430010531E+00    1.0430010530E+00    1.0878511968E+00    1.2883694112E-10    1.7956284080E-08
    6.7000000000E-02    0.0000000000E+00    1.0549200847E+00    1.0549200846E+00    1.1128563851E+00    1.2955791995E-10    1.7713066994E-08
    6.8000000000E-02    0.0000000000E+00    1.0666725322E+00    1.0666725321E+00    1.1377902910E+00    1.3022849465E-10    1.7467052810E-08
    6.9000000000E-02    0.0000000000E+00    1.0782565397E+00    1.0782565396E+00    1.1626371655E+00    1.3084755501E-10    1.7218280376E-08
    7.0000000000E-02    0.0000000000E+00    1.0896702781E+00    1.0896702779E+00    1.1873813149E+00    1.3141532307E-10    1.6966788976E-08
    7.1000000000E-02    0.0000000000E+00    1.1009119448E+00    1.1009119447E+00    1.2120071102E+00    1.3193135473E-10    1.6712618322E-08
    7.2000000000E-02    0.0000000000E+00    1.1119797648E+00    1.1119797647E+00    1.2364989973E+00    1.3239520591E-10    1.6455808553E-08
    7.3000000000E-02    0.0000000000E+00    1.1228719903E+00    1.1228719902E+00    1.2608415066E+00    1.3280621047E-10    1.6196400221E-08
    7.4000000000E-02    0.0000000000E+00    1.1335869013E+00    1.1335869012E+00    1.2850192628E+00    1.3316414638E-10    1.5934434290E-08
    7.5000000000E-02    0.0000000000E+00    1.1441228058E+00    1.1441228056E+00    1.3090169947E+00    1.3346879157E-10    1.5669952126E-08
    7.6000000000E-02    0.0000000000E+00    1.1544780400E+00    1.1544780399E+00    1.3328195448E+00    1.3371970198E-10    1.5402995496E-08
    7.7000000000E-02    0.0000000000E+00    1.1646509688E+00    1.1646509686E+00    1.3564118790E+00    1.3391687759E-10    1.5133606554E-08
    7.8000000000E-02    0.0000000000E+00    1.1746399856E+00    1.1746399855E+00    1.3797790958E+00    1.3405943022E-10    1.4861827840E-08
    7.9000000000E-02    0.0000000000E+00    1.1844435132E+00    1.1844435131E+00    1.4029064360E+00    1.3414758193E-10    1.4587702271E-08
    8.0000000000E-02    0.0000000000E+00    1.1940600035E+00    1.1940600033E+00    1.4257792919E+00    1.3418066658E-10    1.4311273135E-08
    8.1000000000E-02    0.0000000000E+00    1.2034879378E+00    1.2034879377E+00    1.4483832164E+00    1.3415868416E-10    1.4032584083E-08
    8.2000000000E-02    0.0000000000E+00    1.2127258274E+00    1.2127258273E+00    1.4707039325E+00    1.3408119059E-10    1.3751679123E-08
    8.3000000000E-02    0.0000000000E+00    1.2217722136E+00    1.2217722134E+00    1.4927273419E+00    1.3394840792E-10    1.3468602614E-08
    8.4000000000E-02    0.0000000000E+00    1.2306256677E+00    1.2306256676E+00    1.5144395341E+00    1.3375944796E-10    1.3183399256E-08
    8.5000000000E-02    0.0000000000E+00    1.2392847918E+00    1.2392847917E+00    1.5358267953E+00    1.3351475481E-10    1.2896114087E-08
    8.6000000000E-02    0.0000000000E+00    1.2477482185E+00    1.2477482184E+00    1.5568756168E+00    1.3321388437E-10    1.2606792471E-08
